checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,491091167.466807,0.203628,1000000,50000000,50000000,32768,0,guided,32,274655021.713247,0.364093,0.570984,175136121.641885
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,477944707.534515,0.209229,1000000,50000000,50000000,32768,0,guided,32,280003483.517593,0.357138,0.569603,175560747.996671
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,482352586.446597,0.207317,1000000,50000000,50000000,32768,8,guided,32,274385760.916517,0.364450,0.574964,173923822.784382
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,486705645.237397,0.205463,1000000,50000000,50000000,32768,8,guided,32,275286689.266387,0.363258,0.572250,174748814.182542
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,guided,32,101642292.966870,0.983842,1000000,50000000,50000000,32768,0,guided,32,282512729.100953,0.353966,1.340918,74575788.087161
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,98226381.134727,1.018056,1000000,50000000,50000000,32768,0,guided,32,282291894.802319,0.354243,1.375451,72703431.790886
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,guided,32,104100985.497868,0.960606,1000000,50000000,50000000,32768,8,guided,32,282853604.523062,0.353540,1.317528,75899717.042569
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,103444944.523299,0.966698,1000000,50000000,50000000,32768,8,guided,32,281665117.275939,0.355032,1.324850,75480238.139740
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,guided,32,44893708.599491,2.227484,1000000,50000000,50000000,32768,0,guided,32,301494638.585664,0.331681,2.562330,39026972.994375
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44194856.246413,2.262707,1000000,50000000,50000000,32768,0,guided,32,298896510.497871,0.334564,2.600522,38453819.545217
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,guided,32,44876571.182411,2.228334,1000000,50000000,50000000,32768,8,guided,32,300252434.874940,0.333053,2.564907,38987766.959851
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44558360.970863,2.244248,1000000,50000000,50000000,32768,8,guided,32,301631345.982775,0.331531,2.579281,38770498.285524
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,496998317.445960,0.201208,1000000,50000000,50000000,32768,0,guided,32,274898287.243260,0.363771,0.568390,175935595.838029
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,487087403.547567,0.205302,1000000,50000000,50000000,32768,0,guided,32,276266748.067456,0.361969,0.570433,175305342.844678
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,496240184.906763,0.201515,1000000,50000000,50000000,32768,8,guided,32,274271212.352001,0.364603,0.569604,175560477.023497
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,475702564.541689,0.210215,1000000,50000000,50000000,32768,8,guided,32,272605214.456112,0.366831,0.580458,172277641.324111
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,guided,32,107959278.071600,0.926275,1000000,50000000,50000000,32768,0,guided,32,287509066.210569,0.347815,1.277215,78295362.225330
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,104379264.488029,0.958045,1000000,50000000,50000000,32768,0,guided,32,282594128.313844,0.353864,1.315047,76042891.851804
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,guided,32,101942945.656795,0.980941,1000000,50000000,50000000,32768,8,guided,32,282451905.867132,0.354043,1.338332,74719889.060408
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,104724155.245179,0.954890,1000000,50000000,50000000,32768,8,guided,32,281867801.238423,0.354776,1.312920,76166111.226406
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,guided,32,44950207.249600,2.224684,1000000,50000000,50000000,32768,0,guided,32,301640514.382419,0.331520,2.559330,39072722.857632
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44557889.383403,2.244271,1000000,50000000,50000000,32768,0,guided,32,300589718.546780,0.332679,2.580098,38758223.987432
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,guided,32,44993654.788302,2.222536,1000000,50000000,50000000,32768,8,guided,32,301091341.110723,0.332125,2.557804,39096031.665514
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44474228.300841,2.248493,1000000,50000000,50000000,32768,8,guided,32,299789324.187884,0.333568,2.585289,38680391.467693
