checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,496946958.641091,0.201229,1000000,50000000,50000000,32768,0,guided,32,273168882.692270,0.366074,0.570684,175228450.354506
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,476495315.146705,0.209866,1000000,50000000,50000000,32768,0,guided,32,276926075.950913,0.361107,0.574280,174131151.025614
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,485320024.834111,0.206050,1000000,50000000,50000000,32768,8,guided,32,273021143.701514,0.366272,0.575676,173708871.298637
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,483229795.282723,0.206941,1000000,50000000,50000000,32768,8,guided,32,273797419.792006,0.365234,0.575389,173795374.340072
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,114334807.261044,0.874624,1000000,50000000,50000000,32768,0,guided,32,282907373.331307,0.353473,1.231161,81224154.787756
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,111844109.171798,0.894102,1000000,50000000,50000000,32768,0,guided,32,279831953.709816,0.357357,1.254582,79707822.118669
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,113087151.222194,0.884274,1000000,50000000,50000000,32768,8,guided,32,281262859.344165,0.355539,1.242929,80455097.750088
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,108469397.910704,0.921919,1000000,50000000,50000000,32768,8,guided,32,281317109.935681,0.355471,1.280589,78089040.968251
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,210457377.943317,0.475156,1000000,50000000,50000000,32768,0,guided,32,284391623.429452,0.351628,0.829881,120499255.847041
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,199670303.372266,0.500826,1000000,50000000,50000000,32768,0,guided,32,278500092.876436,0.359066,0.863009,115873690.480274
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,198773099.590852,0.503086,1000000,50000000,50000000,32768,8,guided,32,279318018.384710,0.358015,0.864368,115691490.789911
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,195680416.541874,0.511037,1000000,50000000,50000000,32768,8,guided,32,280296543.392470,0.356765,0.870916,114821612.789243
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,467942087.856830,0.213702,1000000,50000000,50000000,32768,0,guided,32,274253589.578359,0.364626,0.581646,171925986.390487
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,480147651.300585,0.208269,1000000,50000000,50000000,32768,0,guided,32,275045055.476812,0.363577,0.575038,173901649.709608
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,506856329.760676,0.197295,1000000,50000000,50000000,32768,8,guided,32,275551648.978293,0.362908,0.563343,177511716.424584
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,485368709.989493,0.206029,1000000,50000000,50000000,32768,8,guided,32,273416466.967785,0.365742,0.574957,173926041.642450
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,107796807.545352,0.927671,1000000,50000000,50000000,32768,0,guided,32,280826007.757327,0.356092,1.286828,77710491.137604
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,112915396.164678,0.885619,1000000,50000000,50000000,32768,0,guided,32,287206481.834904,0.348182,1.237109,80833633.511019
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,112046508.820416,0.892487,1000000,50000000,50000000,32768,8,guided,32,283948391.432213,0.352177,1.247692,80147983.078469
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,108689125.174182,0.920055,1000000,50000000,50000000,32768,8,guided,32,279625358.178397,0.357621,1.280805,78075896.722117
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,183623183.417191,0.544594,1000000,50000000,50000000,32768,0,guided,32,282368455.901119,0.354147,0.902022,110862056.118576
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,193117574.291705,0.517819,1000000,50000000,50000000,32768,0,guided,32,281554056.178726,0.355172,0.875897,114168633.132456
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,205446616.390632,0.486744,1000000,50000000,50000000,32768,8,guided,32,281843838.399238,0.354806,0.844618,118396768.586807
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,204413935.387594,0.489203,1000000,50000000,50000000,32768,8,guided,32,280847523.536601,0.356065,0.848274,117886440.226977
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,496093485.968258,0.201575,1000000,50000000,50000000,32768,0,guided,32,274498395.388398,0.364301,0.569071,175724879.361558
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,489541099.425358,0.204273,1000000,50000000,50000000,32768,0,guided,32,278162039.840579,0.359503,0.567183,176310072.217681
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,501252931.330790,0.199500,1000000,50000000,50000000,32768,8,guided,32,275347478.983654,0.363177,0.565995,176679903.579213
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,493166415.489377,0.202771,1000000,50000000,50000000,32768,8,guided,32,275360762.659234,0.363160,0.569161,175697124.865284
