checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,481669056.391403,0.207611,1000000,50000000,50000000,32768,0,guided,32,277192032.698640,0.360761,0.571655,174930588.643054
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,489944453.587609,0.204105,1000000,50000000,50000000,32768,0,guided,32,276418445.586189,0.361770,0.569106,175714077.172554
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,496140596.988636,0.201556,1000000,50000000,50000000,32768,8,guided,32,276414571.705856,0.361775,0.566585,176496024.238777
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,480733446.467471,0.208015,1000000,50000000,50000000,32768,8,guided,32,278118850.742149,0.359559,0.570852,175176798.989450
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,552865510.242911,0.180876,1000000,50000000,50000000,32768,0,guided,32,283257571.237731,0.353036,0.537077,186192999.121832
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,608412384.198480,0.164362,1000000,50000000,50000000,32768,0,guided,32,281632167.663407,0.355073,0.522861,191255414.194785
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,591516169.484107,0.169057,1000000,50000000,50000000,32768,8,guided,32,278932294.689539,0.358510,0.530932,188347895.003687
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,379689691.917986,0.263373,1000000,50000000,50000000,32768,8,guided,32,280805038.700943,0.356119,0.622695,160592255.887069
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,614677827.137093,0.162687,1000000,50000000,50000000,32768,0,guided,32,280230196.446426,0.356849,0.522690,191317971.218032
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,602405227.289069,0.166001,1000000,50000000,50000000,32768,0,guided,32,280586257.928925,0.356397,0.525562,190272393.818070
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,594970679.400017,0.168076,1000000,50000000,50000000,32768,8,guided,32,282814926.399341,0.353588,0.524964,190489167.061586
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,593078372.776084,0.168612,1000000,50000000,50000000,32768,8,guided,32,281289340.922490,0.355506,0.527209,189677985.149865
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,500154593.314088,0.199938,1000000,50000000,50000000,32768,0,guided,32,276510730.680953,0.361650,0.564950,177006927.824487
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,489320248.042390,0.204365,1000000,50000000,50000000,32768,0,guided,32,277568468.978624,0.360271,0.567847,176103915.822530
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,499740893.253006,0.200104,1000000,50000000,50000000,32768,8,guided,32,273718800.930248,0.365338,0.568669,175849103.874004
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,507102963.952141,0.197199,1000000,50000000,50000000,32768,8,guided,32,275233616.227370,0.363328,0.563717,177393926.760207
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,529914156.559554,0.188710,1000000,50000000,50000000,32768,0,guided,32,281125718.315389,0.355713,0.547831,182538069.443637
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,586632186.691008,0.170465,1000000,50000000,50000000,32768,0,guided,32,280604469.304975,0.356374,0.530052,188660664.001758
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,596533615.240461,0.167635,1000000,50000000,50000000,32768,8,guided,32,280584703.516070,0.356399,0.527378,189617336.991617
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,586612662.306784,0.170470,1000000,50000000,50000000,32768,8,guided,32,278897092.316646,0.358555,0.532154,187915535.647167
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,616827865.576309,0.162120,1000000,50000000,50000000,32768,0,guided,32,285961184.873872,0.349698,0.514979,194182497.991211
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,580886795.702871,0.172151,1000000,50000000,50000000,32768,0,guided,32,280689623.961554,0.356265,0.531641,188096814.320798
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,613809348.055708,0.162917,1000000,50000000,50000000,32768,8,guided,32,278846693.654713,0.358620,0.524940,190498055.320723
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,595197162.730200,0.168012,1000000,50000000,50000000,32768,8,guided,32,281597273.122109,0.355117,0.526339,189991650.247960
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,490384922.326547,0.203921,1000000,50000000,50000000,32768,0,guided,32,273839922.370311,0.365177,0.572324,174726174.377122
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,480575181.821046,0.208084,1000000,50000000,50000000,32768,0,guided,32,275819343.943687,0.362556,0.573551,174352431.060857
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,492286303.845666,0.203134,1000000,50000000,50000000,32768,8,guided,32,277224309.368894,0.360719,0.567012,176363146.143150
