checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,511146454.602166,0.195639,1000000,50000000,50000000,32768,0,guided,32,274533383.273264,0.364254,0.563075,177596312.962975
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,496838525.412192,0.201273,1000000,50000000,50000000,32768,0,guided,32,273335302.906851,0.365851,0.570358,175328575.027894
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,490876994.280978,0.203717,1000000,50000000,50000000,32768,8,guided,32,275723973.854507,0.362682,0.569882,175474775.521806
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,488269778.457571,0.204805,1000000,50000000,50000000,32768,8,guided,32,275092445.600327,0.363514,0.571823,174879280.178340
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,560753434.417027,0.178331,1000000,50000000,50000000,32768,0,guided,32,279018757.448071,0.358399,0.539793,185256088.959818
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,513475597.913950,0.194751,1000000,50000000,50000000,32768,0,guided,32,281757077.119909,0.354916,0.552750,180913609.242985
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,416688440.315317,0.239987,1000000,50000000,50000000,32768,8,guided,32,281767889.782258,0.354902,0.598037,167213731.975608
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,406408493.990468,0.246058,1000000,50000000,50000000,32768,8,guided,32,280686181.211260,0.356270,0.605741,165086923.174211
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,597465997.067862,0.167374,1000000,50000000,50000000,32768,0,guided,32,283492418.741147,0.352743,0.523458,191037159.605396
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,596574898.941804,0.167624,1000000,50000000,50000000,32768,0,guided,32,281336094.478712,0.355447,0.526476,189942137.426383
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,595396890.180796,0.167955,1000000,50000000,50000000,32768,8,guided,32,281941126.725933,0.354684,0.525901,190149820.392365
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,623455458.411956,0.160396,1000000,50000000,50000000,32768,8,guided,32,279061805.855274,0.358344,0.522079,191541821.239492
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,497854650.428585,0.200862,1000000,50000000,50000000,32768,0,guided,32,275982756.440375,0.362341,0.566599,176491771.257322
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,492793861.906593,0.202925,1000000,50000000,50000000,32768,0,guided,32,275831108.642705,0.362541,0.568846,175794618.847678
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,481680715.895458,0.207606,1000000,50000000,50000000,32768,8,guided,32,273280628.630200,0.365924,0.576765,173380915.587125
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,481934564.479992,0.207497,1000000,50000000,50000000,32768,8,guided,32,275648281.174385,0.362781,0.573643,174324433.653228
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,434224011.781122,0.230296,1000000,50000000,50000000,32768,0,guided,32,278760563.281993,0.358731,0.592094,168892235.360108
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,391893581.134644,0.255171,1000000,50000000,50000000,32768,0,guided,32,283088809.354440,0.353246,0.611721,163473097.483854
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,590753217.600756,0.169275,1000000,50000000,50000000,32768,8,guided,32,279610209.436946,0.357641,0.530083,188649724.331240
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,525195408.418440,0.190405,1000000,50000000,50000000,32768,8,guided,32,285284237.512309,0.350528,0.544010,183820283.062691
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,616075260.131763,0.162318,1000000,50000000,50000000,32768,0,guided,32,283155683.642786,0.353163,0.518651,192807954.797305
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,629687150.627263,0.158809,1000000,50000000,50000000,32768,0,guided,32,284175502.282933,0.351895,0.513814,194623112.712391
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,guided,32,601829958.142471,0.166160,1000000,50000000,50000000,32768,8,guided,32,281455910.386880,0.355295,0.524633,190609476.947778
11851897867440820802,6323587386162233250,skewed_90_10,8,20639630597,guided,32,628156351.895195,0.159196,1000000,50000000,50000000,32768,8,guided,32,282545269.478060,0.353926,0.516305,193684005.156336
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,505209341.524774,0.197938,1000000,50000000,50000000,32768,0,guided,32,281429928.533055,0.355328,0.556530,179684922.202488
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,490476539.900222,0.203883,1000000,50000000,50000000,32768,0,guided,32,273652227.984709,0.365427,0.572531,174662956.406280
6185417096973469475,16931092769743058723,uniform,0,2499986166,guided,32,476847673.011823,0.209711,1000000,50000000,50000000,32768,8,guided,32,274135937.370622,0.364783,0.577661,173111870.293703
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,505884580.942705,0.197674,1000000,50000000,50000000,32768,8,guided,32,277650423.676440,0.360165,0.561074,178229723.291944
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,guided,32,554997863.726531,0.180181,1000000,50000000,50000000,32768,0,guided,32,280345628.858401,0.356703,0.540232,185105547.599045
3949874054291418773,4214050837788414649,skewed_80_5,8,32812326695,guided,32,357144765.794138,0.279999,1000000,50000000,50000000,32768,0,guided,32,281783962.433712,0.354882,0.638071,156722294.019784
