checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,493163661.144827,0.202772,1000000,50000000,50000000,2,32768,0,auto,2,64,278978813.006744,0.358450,0.564349,177195228.372005
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,505005328.287710,0.198018,1000000,50000000,50000000,4,32768,0,auto,2,64,283327097.055243,0.352949,0.554324,180399939.268896
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,496571456.795203,0.201381,1000000,50000000,50000000,2,32768,0,auto,2,64,276990341.475106,0.361023,0.565536,176823328.437608
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,507834345.733739,0.196915,1000000,50000000,50000000,4,32768,0,auto,2,64,275099031.281249,0.363505,0.563591,177433712.887550
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,508252514.059732,0.196753,1000000,50000000,50000000,2,32768,0,auto,4,64,290200210.616011,0.344590,0.544547,183638767.590889
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,493839132.950684,0.202495,1000000,50000000,50000000,4,32768,0,auto,4,64,277849105.963655,0.359908,0.565591,176806126.495267
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,512187949.828467,0.195241,1000000,50000000,50000000,2,32768,0,auto,4,64,276657826.191221,0.361457,0.560447,178428931.654906
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,519257520.361772,0.192583,1000000,50000000,50000000,4,32768,0,auto,4,64,289525922.613364,0.345392,0.541115,184803477.547567
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,208941333.535916,0.478603,1000000,50000000,50000000,2,32768,0,auto,2,64,287510070.091780,0.347814,0.830002,120481572.692643
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,204596948.392938,0.488766,1000000,50000000,50000000,4,32768,0,auto,2,64,288766929.064909,0.346300,0.838247,119296626.136177
