checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,498934237.685224,0.200427,1000000,50000000,50000000,2,32768,0,auto,2,64,282144273.496311,0.354429,0.558321,179108280.147680
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,493309511.566801,0.202712,1000000,50000000,50000000,4,32768,0,auto,2,64,284414032.596981,0.351600,0.557745,179293330.931939
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,508406156.273221,0.196693,1000000,50000000,50000000,2,32768,0,auto,2,64,283208572.380333,0.353097,0.553257,180747681.324997
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,510547666.548074,0.195868,1000000,50000000,50000000,4,32768,0,auto,2,64,290029710.937348,0.344792,0.544321,183715171.564363
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,513657162.751211,0.194682,1000000,50000000,50000000,2,32768,0,auto,4,64,278075873.816223,0.359614,0.557851,179259327.374149
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,512024542.191973,0.195303,1000000,50000000,50000000,4,32768,0,auto,4,64,282136097.761750,0.354439,0.553164,180778145.370569
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,499006591.259206,0.200398,1000000,50000000,50000000,2,32768,0,auto,4,64,278116629.111376,0.359561,0.563182,177562625.818651
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,514238592.738630,0.194462,1000000,50000000,50000000,4,32768,0,auto,4,64,276574769.355879,0.361566,0.559153,178841827.528988
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,525209352.610014,0.190400,1000000,50000000,50000000,2,32768,0,auto,2,64,288541215.656629,0.346571,0.540299,185082777.508499
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,573138032.097127,0.174478,1000000,50000000,50000000,4,32768,0,auto,2,64,296937914.744190,0.336771,0.514683,194294340.526384
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,583757065.267598,0.171304,1000000,50000000,50000000,2,32768,0,auto,2,64,296501604.023070,0.337266,0.511853,195368444.930737
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,418096756.273391,0.239179,1000000,50000000,50000000,4,32768,0,auto,2,64,285041273.653589,0.350826,0.593231,168568346.227109
