checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_task_partitions,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,offset_task_partitions,partition_block_size,partition_chunk,partition_schedule,partition_task_blocks,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,489851774.263708,0.204143,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,279295146.750578,0.358044,0.565389,176869474.588485
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,494048870.439472,0.202409,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,279197053.374895,0.358170,0.563779,177374610.583157
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,497073534.648930,0.201177,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,284715390.945329,0.351228,0.555836,179909204.900919
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,490259508.810246,0.203974,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,291593344.537555,0.342943,0.550613,181615757.554042
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,492372311.376796,0.203098,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,282828204.328483,0.353572,0.560055,178553798.570212
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,479767600.100681,0.208434,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,283255374.353628,0.353038,0.564883,177027755.235293
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,506143649.747794,0.197572,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,277117617.463355,0.360858,0.561596,178064089.656774
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,491877310.558293,0.203303,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,277197422.594480,0.360754,0.567302,176273082.542870
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,360152418.267738,0.277660,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,290624830.360420,0.344086,0.625005,159998661.052465
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,337618780.615378,0.296192,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,293510629.700627,0.340703,0.640150,156213505.810302
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,188619922.784678,0.530167,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298875228.547000,0.334588,0.867786,115235756.541687
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,191592469.780298,0.521941,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,287372699.013700,0.347980,0.872945,114554706.956512
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,358314250.013448,0.279085,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298501340.887963,0.335007,0.617221,162016526.931183
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,366584695.826785,0.272788,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,284498708.266669,0.351495,0.627514,159359057.516866
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,197938562.248724,0.505207,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298986866.898738,0.334463,0.842728,118662183.679297
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,188646116.944469,0.530093,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,285379707.775120,0.350410,0.883717,113158351.661279
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,66962999.836716,1.493362,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307556628.373439,0.325143,1.821742,54892518.612813
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,64996045.038479,1.538555,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,318416788.416730,0.314054,1.856126,53875648.967552
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44981201.874324,2.223151,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,317088557.077940,0.315369,2.541775,39342590.251622
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44952437.769146,2.224573,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,317835563.323106,0.314628,2.542455,39332061.252807
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,67576143.742258,1.479812,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,316798628.400638,0.315658,1.799298,55577231.493638
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,66905317.117417,1.494650,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,319140422.498473,0.313342,1.811237,55210897.165240
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44735167.963893,2.235378,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,317120071.932801,0.315338,2.553828,39156905.634271
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44065529.414332,2.269348,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,300438225.960814,0.332847,2.605622,38378555.610190
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,500874765.605151,0.199651,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,278858813.628262,0.358604,0.561823,177991904.493566
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,489953709.140493,0.204101,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,283533232.011406,0.352692,0.560173,178516253.310818
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,480686599.119303,0.208036,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,277085205.462973,0.360900,0.572122,174787768.511625
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,491566870.469058,0.203431,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,290890400.093445,0.343772,0.550394,181688148.091424
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,504924775.863420,0.198049,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,277292795.148257,0.360630,0.561877,177974985.379337
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,501945325.366172,0.199225,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,290567232.798508,0.344154,0.546619,182942681.896246
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,495886827.710198,0.201659,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,283056997.302393,0.353286,0.558401,179082787.069550
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,499055908.705208,0.200378,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,277381872.965487,0.360514,0.564682,177090880.238576
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,357560552.320790,0.279673,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,289754743.672758,0.345119,0.628179,159190319.328353
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,351869526.605307,0.284196,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,293275145.207741,0.340977,0.628537,159099636.808807
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,191540212.594683,0.522084,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,299259074.875143,0.334159,0.859785,116308171.767894
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,194598458.776445,0.513879,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,299290034.870154,0.334124,0.851034,117504164.740441
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,361171122.165859,0.276877,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298750283.616690,0.334728,0.614716,162676617.928588
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,344064280.560229,0.290643,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,295671108.501579,0.338214,0.632076,158208798.081018
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,195473814.730971,0.511577,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,286260276.548915,0.349332,0.863987,115742526.813288
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,191854673.528239,0.521228,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,286614848.265011,0.348900,0.873206,114520550.600783
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,67243630.321709,1.487130,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307660400.296979,0.325034,1.816210,55059708.253473
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,67569502.358880,1.479958,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,298510724.977772,0.334996,1.818111,55002128.059424
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44733480.472491,2.235462,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,308397031.388212,0.324257,2.563091,39015387.389167
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,45037015.175954,2.220396,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,297352034.424032,0.336302,2.559812,39065364.286133
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,65251336.900840,1.532536,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,308174994.422528,0.324491,1.860571,53746948.746844
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,67188210.252839,1.488356,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,308102415.784660,0.324567,1.816288,55057354.001573
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44660567.791668,2.239112,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298659887.374478,0.334829,2.577160,38802409.980365
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44641672.710748,2.240059,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,317952790.934009,0.314512,2.557747,39096909.830123
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,500946673.488147,0.199622,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,290322506.891410,0.344445,0.547277,182722793.646010
