checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,491871055.553474,0.203305,1000000,50000000,50000000,2,32768,0,auto,2,64,276356183.481622,0.361852,0.568364,175943710.587858
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,475918193.802084,0.210120,1000000,50000000,50000000,4,32768,0,auto,2,64,276911392.507437,0.361126,0.574809,173970691.145525
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,478121136.651610,0.209152,1000000,50000000,50000000,2,32768,0,auto,2,64,277642945.665688,0.360175,0.572490,174675540.417620
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,492754367.133366,0.202941,1000000,50000000,50000000,4,32768,0,auto,2,64,289717056.997324,0.345164,0.551357,181370592.472704
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,489031707.932437,0.204486,1000000,50000000,50000000,2,32768,0,auto,4,64,276223679.316620,0.362025,0.569599,175561961.645262
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,492208223.298650,0.203166,1000000,50000000,50000000,4,32768,0,auto,4,64,278069188.046084,0.359623,0.565951,176693602.189842
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,487262245.752452,0.205228,1000000,50000000,50000000,2,32768,0,auto,4,64,289685544.816771,0.345202,0.553552,180651511.957413
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,471683307.267956,0.212007,1000000,50000000,50000000,4,32768,0,auto,4,64,277548887.516653,0.360297,0.575513,173757881.175392
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,203587871.500022,0.491188,1000000,50000000,50000000,2,32768,0,auto,2,64,296500264.545142,0.337268,0.831533,120259758.127477
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,209720924.725867,0.476824,1000000,50000000,50000000,4,32768,0,auto,2,64,295613244.992622,0.338280,0.818241,122213430.502699
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,107501481.354160,0.930220,1000000,50000000,50000000,2,32768,0,auto,2,64,296140828.269303,0.337677,1.271046,78675348.944957
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,109995427.556420,0.909129,1000000,50000000,50000000,4,32768,0,auto,2,64,283340623.500097,0.352932,1.265103,79044918.161712
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,200771048.970873,0.498080,1000000,50000000,50000000,2,32768,0,auto,4,64,295532835.047555,0.338372,0.839962,119052937.453884
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,202529166.138436,0.493756,1000000,50000000,50000000,4,32768,0,auto,4,64,283397596.476587,0.352861,0.849606,117701613.387844
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,113039115.042534,0.884650,1000000,50000000,50000000,2,32768,0,auto,4,64,297021924.171887,0.336675,1.224408,81672110.389752
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,112413580.230912,0.889572,1000000,50000000,50000000,4,32768,0,auto,4,64,288551965.956397,0.346558,1.239380,80685503.910722
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,376584757.534246,0.265544,1000000,50000000,50000000,2,32768,0,auto,2,64,282310925.041416,0.354219,0.622860,160549776.141593
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,347470457.294732,0.287794,1000000,50000000,50000000,4,32768,0,auto,2,64,284911406.856460,0.350986,0.641848,155800219.876811
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,197486363.028279,0.506364,1000000,50000000,50000000,2,32768,0,auto,2,64,288544214.866274,0.346567,0.856339,116776211.689639
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,196878620.141788,0.507927,1000000,50000000,50000000,4,32768,0,auto,2,64,288847102.217536,0.346204,0.857555,116610544.466733
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,379049348.926113,0.263818,1000000,50000000,50000000,2,32768,0,auto,4,64,295259955.856547,0.338685,0.605641,165114420.497623
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,344304462.749542,0.290441,1000000,50000000,50000000,4,32768,0,auto,4,64,283013238.683883,0.353340,0.646904,154582456.354047
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,194907294.904376,0.513064,1000000,50000000,50000000,2,32768,0,auto,4,64,283284071.034504,0.353003,0.869199,115048508.827967
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,199535504.938888,0.501164,1000000,50000000,50000000,4,32768,0,auto,4,64,292292141.859953,0.342123,0.846598,118119869.645098
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,489814939.367679,0.204159,1000000,50000000,50000000,2,32768,0,auto,2,64,290572548.346526,0.344148,0.551477,181331069.453211
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,501883414.644908,0.199249,1000000,50000000,50000000,4,32768,0,auto,2,64,289923260.515504,0.344919,0.547329,182705520.338870
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,484537648.060941,0.206382,1000000,50000000,50000000,2,32768,0,auto,2,64,290417825.975672,0.344331,0.553867,180548633.252834
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,510167917.151007,0.196014,1000000,50000000,50000000,4,32768,0,auto,2,64,287450899.264627,0.347886,0.547054,182797245.889924
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,496340803.970705,0.201474,1000000,50000000,50000000,2,32768,0,auto,4,64,278395263.707439,0.359202,0.563876,177343895.520136
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,497614050.023145,0.200959,1000000,50000000,50000000,4,32768,0,auto,4,64,284248429.200114,0.351805,0.556151,179807194.981711
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,487188995.687277,0.205259,1000000,50000000,50000000,2,32768,0,auto,4,64,290985117.827824,0.343660,0.552594,180964763.863850
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,490720817.539658,0.203782,1000000,50000000,50000000,4,32768,0,auto,4,64,275706557.515807,0.362704,0.569673,175539399.940538
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,208468211.562068,0.479689,1000000,50000000,50000000,2,32768,0,auto,2,64,291256731.574125,0.343340,0.826442,121000611.580907
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,206453070.516884,0.484372,1000000,50000000,50000000,4,32768,0,auto,2,64,295299881.368712,0.338639,0.826087,121052563.816884
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,110478256.838926,0.905155,1000000,50000000,50000000,2,32768,0,auto,2,64,283646450.756118,0.352552,1.261202,79289413.052518
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,111110391.076951,0.900006,1000000,50000000,50000000,4,32768,0,auto,2,64,288818790.125742,0.346238,1.249477,80033488.219319
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,196856661.298802,0.507984,1000000,50000000,50000000,2,32768,0,auto,4,64,296726063.695112,0.337011,0.848145,117904428.787383
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,4,32,199754939.611245,0.500613,1000000,50000000,50000000,4,32768,0,auto,4,64,297045381.963848,0.336649,0.840442,118984944.612555
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,113434902.138724,0.881563,1000000,50000000,50000000,2,32768,0,auto,4,64,297149565.244806,0.336531,1.221042,81897273.556574
3949874054291418773,4214050837788414649,skewed_80_5,0,32812326695,auto,8,32,113170026.889087,0.883626,1000000,50000000,50000000,4,32768,0,auto,4,64,283895964.645195,0.352242,1.238963,80712686.443516
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,354316925.355575,0.282233,1000000,50000000,50000000,2,32768,0,auto,2,64,286850215.799027,0.348614,0.634218,157674582.195079
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,353164207.651492,0.283154,1000000,50000000,50000000,4,32768,0,auto,2,64,283343204.527193,0.352929,0.638554,156603744.701379
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,198334792.965382,0.504198,1000000,50000000,50000000,2,32768,0,auto,2,64,291308612.037470,0.343279,0.850754,117542789.360378
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,192073070.858840,0.520635,1000000,50000000,50000000,4,32768,0,auto,2,64,295644949.736204,0.338244,0.861937,116017796.923046
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,347950147.611055,0.287397,1000000,50000000,50000000,2,32768,0,auto,4,64,283346608.085562,0.352925,0.643420,155419469.159766
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,4,32,383394728.136129,0.260828,1000000,50000000,50000000,4,32768,0,auto,4,64,292228476.459707,0.342198,0.606365,164917235.476623
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,190475416.565058,0.525002,1000000,50000000,50000000,2,32768,0,auto,4,64,283096093.968149,0.353237,0.881284,113470812.569646
11851897867440820802,6323587386162233250,skewed_90_10,0,20639630597,auto,8,32,197598604.837779,0.506076,1000000,50000000,50000000,4,32768,0,auto,4,64,283820673.683308,0.352335,0.861610,116061836.081249
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,482305908.293488,0.207337,1000000,50000000,50000000,2,32768,0,auto,2,64,287664890.234815,0.347627,0.558227,179138518.000606
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,475599866.332276,0.210261,1000000,50000000,50000000,4,32768,0,auto,2,64,277657867.626367,0.360155,0.574171,174164289.871691
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,516449278.383436,0.193630,1000000,50000000,50000000,2,32768,0,auto,2,64,277477145.916697,0.360390,0.557190,179471952.272436
