checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,500754933.859925,0.199698,1000000,50000000,50000000,2,32768,0,auto,2,64,282745970.354061,0.353674,0.556853,179580729.965744
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,524214046.912874,0.190762,1000000,50000000,50000000,4,32768,0,auto,2,64,289701282.854264,0.345183,0.539109,185491272.976415
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,519820830.350181,0.192374,1000000,50000000,50000000,2,32768,0,auto,2,64,277083818.303597,0.360902,0.556502,179693927.809521
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,523980366.214679,0.190847,1000000,50000000,50000000,4,32768,0,auto,2,64,278165106.759273,0.359499,0.553563,180647981.496176
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,497869599.876254,0.200856,1000000,50000000,50000000,2,32768,0,auto,4,64,277219588.347141,0.360725,0.565402,176865401.694817
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,509670616.845362,0.196205,1000000,50000000,50000000,4,32768,0,auto,4,64,277276887.050468,0.360650,0.560495,178413575.251101
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,526800178.350509,0.189825,1000000,50000000,50000000,2,32768,0,auto,4,64,283573694.559910,0.352642,0.546012,183146313.156732
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,508873872.478568,0.196512,1000000,50000000,50000000,4,32768,0,auto,4,64,276667463.990364,0.361445,0.561766,178010086.361221
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,607607206.211261,0.164580,1000000,50000000,50000000,2,32768,0,auto,2,64,295892589.921223,0.337960,0.506176,197559842.937413
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,611637198.488335,0.163496,1000000,50000000,50000000,4,32768,0,auto,2,64,285486360.100983,0.350279,0.516944,193444591.991721
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,607935963.356902,0.164491,1000000,50000000,50000000,2,32768,0,auto,2,64,299643570.595994,0.333730,0.501343,199464095.015473
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,502495618.860018,0.199007,1000000,50000000,50000000,4,32768,0,auto,2,64,293636076.333852,0.340558,0.542957,184176768.669967
