checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,scaling_type,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,4,201821714.653353,0.495487,1000000,50000000,50000000,32768,8,guided,4,114498271.249017,0.873376,strong,1.371556,72909890.991675
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,8,413904969.147106,0.241601,1000000,50000000,50000000,32768,8,guided,8,180825186.575290,0.553020,strong,0.797301,125423109.129937
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,16,622584353.733908,0.160621,1000000,50000000,50000000,32768,8,guided,16,247673366.702635,0.403758,strong,0.567037,176355209.317809
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,629324510.074978,0.158901,1000000,50000000,50000000,32768,8,guided,32,291794428.714797,0.342707,strong,0.504907,198056260.779553
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,64,652253848.062762,0.153315,1000000,50000000,50000000,32768,8,guided,64,290930492.619860,0.343725,strong,0.499590,200164317.374323
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,4,196438572.211054,0.509065,1000000,50000000,50000000,32768,8,guided,4,192316755.385173,0.519975,strong,1.031462,96949725.591407
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,8,339066299.130631,0.294928,1000000,50000000,50000000,32768,8,guided,8,252732522.234370,0.395675,strong,0.693060,144287634.129731
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,16,330898072.620462,0.302208,1000000,50000000,50000000,32768,8,guided,16,279043741.948861,0.358367,strong,0.663698,150670903.245258
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,322475066.623631,0.310101,1000000,50000000,50000000,32768,8,guided,32,294376653.847365,0.339701,strong,0.652980,153144029.868406
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,64,556911644.857797,0.179562,1000000,50000000,50000000,32768,8,guided,64,292189796.921824,0.342243,strong,0.524356,190710008.956645
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,4,129878417.344603,0.769951,1000000,50000000,50000000,32768,8,guided,4,240544430.331700,0.415724,strong,1.188159,84163838.815920
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,8,130554899.962657,0.765961,1000000,50000000,50000000,32768,8,guided,8,299787988.320311,0.333569,strong,1.102126,90733741.583719
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,16,128189038.538048,0.780098,1000000,50000000,50000000,32768,8,guided,16,307118453.293070,0.325607,strong,1.108988,90172323.490215
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,123893066.473748,0.807148,1000000,50000000,50000000,32768,8,guided,32,313782862.674645,0.318692,strong,1.129053,88569771.873677
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,64,125513566.147234,0.796727,1000000,50000000,50000000,32768,8,guided,64,312070614.158599,0.320440,strong,1.119623,89315814.143315
