checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,scaling_type,time_sec,total_throughput
7970473340851283408,15465518843320288240,uniform,8,99994796,guided,4,299092530.058784,0.066869,1000000,10000000,10000000,32768,8,guided,4,131977924.052017,0.151540,weak,0.219126,91271874.220305
7970473340851283408,15465518843320288240,uniform,8,99994796,guided,4,304401031.447538,0.065703,1000000,10000000,10000000,32768,8,guided,4,133890599.792058,0.149376,weak,0.215871,92647900.524346
7970473340851283408,15465518843320288240,uniform,8,99994796,guided,4,304707173.254512,0.065637,1000000,10000000,10000000,32768,8,guided,4,125956856.981624,0.158785,weak,0.225219,88802289.936346
7970473340851283408,15465518843320288240,uniform,8,99994796,guided,4,303615042.545451,0.065873,1000000,10000000,10000000,32768,8,guided,4,120099352.533448,0.166529,weak,0.233231,85751976.004118
7970473340851283408,15465518843320288240,uniform,8,99994796,guided,4,304225036.952113,0.065741,1000000,10000000,10000000,32768,8,guided,4,126938500.012567,0.157557,weak,0.224129,89234343.144967
9484500805786004277,383871123996043952,uniform,8,400018499,guided,8,460178781.728738,0.086923,1000000,20000000,20000000,32768,8,guided,8,179725203.051691,0.222562,weak,0.310848,128680247.015225
9484500805786004277,383871123996043952,uniform,8,400018499,guided,8,515386979.970577,0.077612,1000000,20000000,20000000,32768,8,guided,8,181022171.157425,0.220967,weak,0.299867,133392546.699456
9484500805786004277,383871123996043952,uniform,8,400018499,guided,8,517669040.176196,0.077269,1000000,20000000,20000000,32768,8,guided,8,187522265.808055,0.213308,weak,0.291980,136995540.335386
9484500805786004277,383871123996043952,uniform,8,400018499,guided,8,516394849.257004,0.077460,1000000,20000000,20000000,32768,8,guided,8,187606050.467434,0.213213,weak,0.292065,136956004.090433
9484500805786004277,383871123996043952,uniform,8,400018499,guided,8,511432709.327489,0.078212,1000000,20000000,20000000,32768,8,guided,8,191585802.241122,0.208784,weak,0.288312,138738723.540790
3575568045776244981,7674070805499128156,uniform,8,1599982716,guided,16,580650791.332336,0.137776,1000000,40000000,40000000,32768,8,guided,16,218433806.190096,0.366244,weak,0.518599,154261655.461917
3575568045776244981,7674070805499128156,uniform,8,1599982716,guided,16,634729827.814738,0.126038,1000000,40000000,40000000,32768,8,guided,16,225698912.667371,0.354455,weak,0.494750,161697861.100879
3575568045776244981,7674070805499128156,uniform,8,1599982716,guided,16,634363568.685142,0.126111,1000000,40000000,40000000,32768,8,guided,16,226868103.553300,0.352628,weak,0.493040,162258613.578256
3575568045776244981,7674070805499128156,uniform,8,1599982716,guided,16,647598560.501832,0.123533,1000000,40000000,40000000,32768,8,guided,16,223912594.534454,0.357282,weak,0.495194,161552734.384918
3575568045776244981,7674070805499128156,uniform,8,1599982716,guided,16,647397258.704688,0.123572,1000000,40000000,40000000,32768,8,guided,16,226600547.834078,0.353044,weak,0.491031,162922585.941541
5005231824904745395,17428110892679703204,uniform,8,6400010645,guided,32,457543466.960338,0.349694,1000000,80000000,80000000,32768,8,guided,32,169036719.073289,0.946540,weak,1.385581,115475062.296918
5005231824904745395,17428110892679703204,uniform,8,6400010645,guided,32,462589553.603605,0.345879,1000000,80000000,80000000,32768,8,guided,32,174034990.651657,0.919355,weak,1.355421,118044507.889629
5005231824904745395,17428110892679703204,uniform,8,6400010645,guided,32,447692072.566987,0.357389,1000000,80000000,80000000,32768,8,guided,32,175510629.323387,0.911626,weak,1.358425,117783504.235666
5005231824904745395,17428110892679703204,uniform,8,6400010645,guided,32,449474091.006816,0.355972,1000000,80000000,80000000,32768,8,guided,32,182116927.768429,0.878556,weak,1.317399,121451434.818099
5005231824904745395,17428110892679703204,uniform,8,6400010645,guided,32,471617553.574295,0.339258,1000000,80000000,80000000,32768,8,guided,32,182291099.949774,0.877717,weak,1.301897,122897575.130542
17324685421169538223,375901645370926228,skewed_90_5,8,1623005071,guided,4,150871420.853016,0.132563,1000000,10000000,10000000,32768,8,guided,4,175683943.659501,0.113841,weak,0.247429,80831146.390337
17324685421169538223,375901645370926228,skewed_90_5,8,1623005071,guided,4,158318418.088899,0.126328,1000000,10000000,10000000,32768,8,guided,4,168955343.712308,0.118374,weak,0.245716,81394769.251444
17324685421169538223,375901645370926228,skewed_90_5,8,1623005071,guided,4,155517876.226207,0.128603,1000000,10000000,10000000,32768,8,guided,4,170182535.016502,0.117521,weak,0.247210,80902823.768521
17324685421169538223,375901645370926228,skewed_90_5,8,1623005071,guided,4,158128062.866335,0.126480,1000000,10000000,10000000,32768,8,guided,4,170828294.198361,0.117077,weak,0.244604,81764676.309553
17324685421169538223,375901645370926228,skewed_90_5,8,1623005071,guided,4,159551403.566739,0.125351,1000000,10000000,10000000,32768,8,guided,4,174432284.424829,0.114658,weak,0.241022,82979862.112115
6355811297710748805,15921106762772595434,skewed_90_5,8,6492554280,guided,8,298118098.756401,0.134175,1000000,20000000,20000000,32768,8,guided,8,237632397.995503,0.168327,weak,0.303763,131681589.958005
6355811297710748805,15921106762772595434,skewed_90_5,8,6492554280,guided,8,312988801.576210,0.127800,1000000,20000000,20000000,32768,8,guided,8,246297695.725581,0.162405,weak,0.291498,137222025.867741
6355811297710748805,15921106762772595434,skewed_90_5,8,6492554280,guided,8,311820572.357371,0.128279,1000000,20000000,20000000,32768,8,guided,8,247394008.054220,0.161685,weak,0.291202,137361594.938188
6355811297710748805,15921106762772595434,skewed_90_5,8,6492554280,guided,8,305618413.285996,0.130882,1000000,20000000,20000000,32768,8,guided,8,240816938.013820,0.166101,weak,0.298558,133977367.578413
6355811297710748805,15921106762772595434,skewed_90_5,8,6492554280,guided,8,299530370.183860,0.133542,1000000,20000000,20000000,32768,8,guided,8,248117831.159816,0.161214,weak,0.296025,135123642.503573
1088345676129210789,13344146556786311096,skewed_90_5,8,25970776483,guided,16,206043275.423554,0.388268,1000000,40000000,40000000,32768,8,guided,16,272468690.825234,0.293612,weak,0.683916,116973443.710406
1088345676129210789,13344146556786311096,skewed_90_5,8,25970776483,guided,16,202795937.288880,0.394485,1000000,40000000,40000000,32768,8,guided,16,289817581.284835,0.276036,weak,0.672564,118947806.994234
1088345676129210789,13344146556786311096,skewed_90_5,8,25970776483,guided,16,286924041.428914,0.278819,1000000,40000000,40000000,32768,8,guided,16,303503871.537584,0.263588,weak,0.544511,146920694.150457
1088345676129210789,13344146556786311096,skewed_90_5,8,25970776483,guided,16,315075161.807183,0.253908,1000000,40000000,40000000,32768,8,guided,16,306582325.976087,0.260941,weak,0.516891,154771605.136467
1088345676129210789,13344146556786311096,skewed_90_5,8,25970776483,guided,16,221590389.084730,0.361026,1000000,40000000,40000000,32768,8,guided,16,272586785.788147,0.293485,weak,0.656607,121838446.141814
15134616776878307152,127467244740158697,skewed_90_5,8,103881876995,guided,32,170006064.928435,0.941143,1000000,80000000,80000000,32768,8,guided,32,169677070.786838,0.942968,weak,1.966710,81354151.623374
15134616776878307152,127467244740158697,skewed_90_5,8,103881876995,guided,32,122505967.612039,1.306059,1000000,80000000,80000000,32768,8,guided,32,175987408.990461,0.909156,weak,2.303026,69473802.159815
15134616776878307152,127467244740158697,skewed_90_5,8,103881876995,guided,32,177280601.604548,0.902524,1000000,80000000,80000000,32768,8,guided,32,177213237.451838,0.902867,weak,1.895216,84423076.391601
15134616776878307152,127467244740158697,skewed_90_5,8,103881876995,guided,32,148624325.570462,1.076540,1000000,80000000,80000000,32768,8,guided,32,176203057.835150,0.908043,weak,2.073272,77172717.254115
15134616776878307152,127467244740158697,skewed_90_5,8,103881876995,guided,32,175768889.201733,0.910286,1000000,80000000,80000000,32768,8,guided,32,179421307.778075,0.891756,weak,1.888860,84707162.240749
16086401175843815629,7957714702781369275,skewed_90_1,8,6939253682,guided,4,145572491.517753,0.137389,1000000,10000000,10000000,32768,8,guided,4,230747025.194221,0.086675,weak,0.224983,88895457.070184
16086401175843815629,7957714702781369275,skewed_90_1,8,6939253682,guided,4,140922259.510707,0.141922,1000000,10000000,10000000,32768,8,guided,4,232872445.307470,0.085884,weak,0.228721,87442876.381193
16086401175843815629,7957714702781369275,skewed_90_1,8,6939253682,guided,4,138979189.786897,0.143906,1000000,10000000,10000000,32768,8,guided,4,233447510.381563,0.085672,weak,0.230530,86756488.925756
16086401175843815629,7957714702781369275,skewed_90_1,8,6939253682,guided,4,142632840.970537,0.140220,1000000,10000000,10000000,32768,8,guided,4,237903555.966819,0.084068,weak,0.225179,88818316.550080
16086401175843815629,7957714702781369275,skewed_90_1,8,6939253682,guided,4,145511659.072402,0.137446,1000000,10000000,10000000,32768,8,guided,4,234466664.253016,0.085300,weak,0.223692,89408756.933946
15450192712215605427,5645205984089442740,skewed_90_1,8,27760580198,guided,8,113067476.983262,0.353771,1000000,20000000,20000000,32768,8,guided,8,298866066.094619,0.133839,weak,0.488872,81821083.334175
15450192712215605427,5645205984089442740,skewed_90_1,8,27760580198,guided,8,114508557.946890,0.349319,1000000,20000000,20000000,32768,8,guided,8,296451149.434411,0.134929,weak,0.485412,82404151.423445
15450192712215605427,5645205984089442740,skewed_90_1,8,27760580198,guided,8,116608313.087587,0.343029,1000000,20000000,20000000,32768,8,guided,8,296992453.526793,0.134684,weak,0.478971,83512297.875464
15450192712215605427,5645205984089442740,skewed_90_1,8,27760580198,guided,8,111083121.181492,0.360091,1000000,20000000,20000000,32768,8,guided,8,298856591.441907,0.133843,weak,0.495208,80774062.360774
15450192712215605427,5645205984089442740,skewed_90_1,8,27760580198,guided,8,85352210.935198,0.468646,1000000,20000000,20000000,32768,8,guided,8,296837219.642886,0.134754,weak,0.604749,66143108.880628
13191304220111528243,11586701238124308777,skewed_90_1,8,111045347745,guided,16,40396942.039377,1.980348,1000000,40000000,40000000,32768,8,guided,16,202572524.440196,0.394920,weak,2.407866,33224446.948646
13191304220111528243,11586701238124308777,skewed_90_1,8,111045347745,guided,16,118778113.631559,0.673525,1000000,40000000,40000000,32768,8,guided,16,209045745.290942,0.382691,weak,1.089950,73397887.691483
13191304220111528243,11586701238124308777,skewed_90_1,8,111045347745,guided,16,40489818.119012,1.975805,1000000,40000000,40000000,32768,8,guided,16,239635755.341893,0.333840,weak,2.333111,34288977.330162
13191304220111528243,11586701238124308777,skewed_90_1,8,111045347745,guided,16,42974935.517995,1.861550,1000000,40000000,40000000,32768,8,guided,16,249642946.604809,0.320458,weak,2.205139,36278888.370244
13191304220111528243,11586701238124308777,skewed_90_1,8,111045347745,guided,16,40399326.196941,1.980231,1000000,40000000,40000000,32768,8,guided,16,244636813.692821,0.327015,weak,2.330459,34328001.553853
16621753519059660762,16264606797109317232,skewed_90_1,8,444177284610,guided,32,44985134.080543,3.556731,1000000,80000000,80000000,32768,8,guided,32,176043900.362771,0.908864,weak,4.547060,35187573.697278
16621753519059660762,16264606797109317232,skewed_90_1,8,444177284610,guided,32,37465060.575179,4.270646,1000000,80000000,80000000,32768,8,guided,32,187135131.468594,0.854997,weak,5.203944,30745913.679290
16621753519059660762,16264606797109317232,skewed_90_1,8,444177284610,guided,32,37110712.881088,4.311424,1000000,80000000,80000000,32768,8,guided,32,196074507.163544,0.816016,weak,5.198179,30780011.241132
16621753519059660762,16264606797109317232,skewed_90_1,8,444177284610,guided,32,37056172.595952,4.317769,1000000,80000000,80000000,32768,8,guided,32,199346131.170827,0.802624,weak,5.190669,30824542.818490
16621753519059660762,16264606797109317232,skewed_90_1,8,444177284610,guided,32,37531870.872124,4.263044,1000000,80000000,80000000,32768,8,guided,32,201693891.072391,0.793281,weak,5.125250,31217987.139587
